x,pi_x,theta_x,psi_x,li_x,psi_error,pi_minus_li
10,4,5.3471075307174685,7.832014180505469,5.120435724670288,-2.1679858194945307,-1.1204357246702878
15,6,10.309952160977376,12.794858810765376,7.10966107865445,-2.2051411892346238,-1.10966107865445
22,8,16.087604484200035,19.265658314547977,9.517188956088857,-2.734341685452023,-1.517188956088857
32,11,26.024381734600805,32.60363294661091,12.559928397070486,0.603632946610908,-1.559928397070486
46,14,37.1100718296429,43.689323041653005,16.390144288462867,-2.3106769583469955,-2.390144288462867
68,19,57.32361527237508,66.54192381400044,21.844288704743573,-1.458076185999559,-2.8442887047435725
100,25,83.72839039906393,94.0453112293574,29.0809778149095,-5.954688770642605,-4.080977814909499
147,34,126.64364370815677,141.66104490424266,38.8572094885761,-5.338955095757342,-4.857209488576103
215,47,193.91536440498342,211.49771495853085,51.958717628396975,-3.5022850414691504,-4.958717628396975
316,65,294.2378559256413,316.44517929247303,70.08079867063346,0.44517929247302845,-5.080798670633456
464,90,443.6390999529857,470.7367724480391,94.92124236130422,6.736772448039119,-4.921242361304223
681,123,653.4038799262389,685.9396317302155,129.1374003447497,4.939631730215524,-6.137400344749693
1000,168,956.2452651200589,996.6809122471753,176.5645986393324,-3.3190877528246574,-8.564598639332388
1468,232,1411.014186649631,1458.1517941427503,242.38549980197533,-9.848205857249695,-10.385499801975328
2154,325,2107.939585085954,2163.245111942031,333.92707847665275,9.245111942031144,-8.927078476652753
3162,446,3060.804590725761,3131.1494668047194,461.8870861113751,-30.850533195280605,-15.887086111375083
4642,626,4547.013818058608,4630.444945245597,641.0394458441557,-11.55505475440259,-15.039445844155694
6813,876,6708.245624072196,6808.531164062567,892.1837526480253,-4.468835937433141,-16.183752648025347
10000,1229,9895.991379156982,10013.39669326311,1245.2206387220497,13.396693263110137,-16.22063872204967
14678,1718,14499.040784782188,14645.320902417518,1742.3452381330235,-32.67909758248243,-24.345238133023486
21544,2417,21346.189605188716,21517.390669623383,2443.483338631766,-26.609330376617436,-26.483338631765946
31623,3401,31362.668798392504,31573.678602774937,3434.040015312259,-49.321397225063265,-33.04001531225913
46416,4797,46108.81211681408,46357.344281518104,4835.226720464156,-58.65571848189575,-38.22672046415573
68129,6783,67851.72130565913,68149.40881950053,6819.987756463302,20.408819500531536,-36.987756463301594
100000,9592,99685.38926861253,100051.56402565798,9634.886831050206,51.56402565797907,-42.88683105020573
